#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
    59   0.160665E+04  -0.161522E+01   0.658476E-03  -0.161522E+01   0.197354E+00  -0.522574E-06   0.658476E-03  -0.522574E-06   0.130036E-06
    60   0.162870E+04  -0.191982E+01   0.646528E-03  -0.191982E+01   0.207655E+00  -0.503850E-06   0.646528E-03  -0.503850E-06   0.129401E-06
    61   0.165086E+04  -0.223560E+01   0.634673E-03  -0.223560E+01   0.218219E+00  -0.501409E-06   0.634673E-03  -0.501409E-06   0.128758E-06
    62   0.167329E+04  -0.256519E+01   0.623146E-03  -0.256519E+01   0.229039E+00  -0.531716E-06   0.623146E-03  -0.531716E-06   0.128104E-06
    63   0.169611E+04  -0.291012E+01   0.612104E-03  -0.291012E+01   0.240117E+00  -0.595992E-06   0.612104E-03  -0.595992E-06   0.127447E-06
    64   0.171923E+04  -0.327049E+01   0.601514E-03  -0.327049E+01   0.251459E+00  -0.677799E-06   0.601514E-03  -0.677799E-06   0.126784E-06
    65   0.174266E+04  -0.364677E+01   0.591376E-03  -0.364677E+01   0.263084E+00  -0.752337E-06   0.591376E-03  -0.752337E-06   0.126120E-06
    66   0.176583E+04  -0.403348E+01   0.581331E-03  -0.403348E+01   0.274987E+00  -0.798957E-06   0.581331E-03  -0.798957E-06   0.125446E-06
    67   0.178904E+04  -0.443132E+01   0.571492E-03  -0.443132E+01   0.287165E+00  -0.811165E-06   0.571492E-03  -0.811165E-06   0.124769E-06
    68   0.181269E+04  -0.484305E+01   0.562020E-03  -0.484305E+01   0.299610E+00  -0.796923E-06   0.562020E-03  -0.796923E-06   0.124089E-06
    69   0.183685E+04  -0.526890E+01   0.552937E-03  -0.526890E+01   0.312308E+00  -0.771739E-06   0.552937E-03  -0.771739E-06   0.123405E-06
    70   0.186132E+04  -0.570632E+01   0.544163E-03  -0.570632E+01   0.325236E+00  -0.749509E-06   0.544163E-03  -0.749509E-06   0.122719E-06
    71   0.188596E+04  -0.615404E+01   0.535651E-03  -0.615404E+01   0.338373E+00  -0.736575E-06   0.535651E-03  -0.736575E-06   0.122032E-06
    72   0.191064E+04  -0.661216E+01   0.527340E-03  -0.661216E+01   0.351705E+00  -0.731271E-06   0.527340E-03  -0.731271E-06   0.121339E-06
    73   0.193542E+04  -0.708041E+01   0.519235E-03  -0.708041E+01   0.365226E+00  -0.728394E-06   0.519235E-03  -0.728394E-06   0.120648E-06
    74   0.196033E+04  -0.755904E+01   0.511292E-03  -0.755904E+01   0.378934E+00  -0.724079E-06   0.511292E-03  -0.724079E-06   0.119959E-06
    75   0.198598E+04  -0.805504E+01   0.503649E-03  -0.805504E+01   0.392828E+00  -0.719275E-06   0.503649E-03  -0.719275E-06   0.119265E-06
    76   0.201187E+04  -0.856291E+01   0.496095E-03  -0.856291E+01   0.406917E+00  -0.719355E-06   0.496095E-03  -0.719355E-06   0.118571E-06
    77   0.203796E+04  -0.908174E+01   0.488626E-03  -0.908174E+01   0.421191E+00  -0.730795E-06   0.488626E-03  -0.730795E-06   0.117876E-06
    78   0.206413E+04  -0.960990E+01   0.481226E-03  -0.960990E+01   0.435636E+00  -0.757499E-06   0.481226E-03  -0.757499E-06   0.117182E-06
    79   0.209029E+04  -0.101456E+02   0.473900E-03  -0.101456E+02   0.450234E+00  -0.798474E-06   0.473900E-03  -0.798474E-06   0.116489E-06
    80   0.211668E+04  -0.106899E+02   0.466745E-03  -0.106899E+02   0.464968E+00  -0.848065E-06   0.466745E-03  -0.848065E-06   0.115797E-06
    81   0.214353E+04  -0.112456E+02   0.459854E-03  -0.112456E+02   0.479830E+00  -0.898165E-06   0.459854E-03  -0.898165E-06   0.115105E-06
    82   0.217081E+04  -0.118127E+02   0.453214E-03  -0.118127E+02   0.494811E+00  -0.941099E-06   0.453214E-03  -0.941099E-06   0.114415E-06
    83   0.219836E+04  -0.123891E+02   0.446742E-03  -0.123891E+02   0.509899E+00  -0.971839E-06   0.446742E-03  -0.971839E-06   0.113724E-06
    84   0.222623E+04  -0.129751E+02   0.440483E-03  -0.129751E+02   0.525096E+00  -0.989607E-06   0.440483E-03  -0.989607E-06   0.113041E-06
    85   0.225356E+04  -0.135618E+02   0.434153E-03  -0.135618E+02   0.540344E+00  -0.995630E-06   0.434153E-03  -0.995630E-06   0.112354E-06
    86   0.228125E+04  -0.141563E+02   0.428043E-03  -0.141563E+02   0.555647E+00  -0.993978E-06   0.428043E-03  -0.993978E-06   0.111669E-06
    87   0.230959E+04  -0.147620E+02   0.422229E-03  -0.147620E+02   0.571005E+00  -0.988554E-06   0.422229E-03  -0.988554E-06   0.110987E-06
    88   0.233837E+04  -0.153771E+02   0.416636E-03  -0.153771E+02   0.586414E+00  -0.981919E-06   0.416636E-03  -0.981919E-06   0.110307E-06
    89   0.236737E+04  -0.159986E+02   0.411197E-03  -0.159986E+02   0.601862E+00  -0.974926E-06   0.411197E-03  -0.974926E-06   0.109630E-06
    90   0.239650E+04  -0.166251E+02   0.405877E-03  -0.166251E+02   0.617332E+00  -0.967154E-06   0.405877E-03  -0.967154E-06   0.108955E-06
    91   0.242567E+04  -0.172557E+02   0.400632E-03  -0.172557E+02   0.632799E+00  -0.957720E-06   0.400632E-03  -0.957720E-06   0.108284E-06
    92   0.245490E+04  -0.178899E+02   0.395440E-03  -0.178899E+02   0.648247E+00  -0.946061E-06   0.395440E-03  -0.946061E-06   0.107615E-06
    93   0.248442E+04  -0.185293E+02   0.390335E-03  -0.185293E+02   0.663662E+00  -0.932359E-06   0.390335E-03  -0.932359E-06   0.106949E-06
    94   0.251439E+04  -0.191752E+02   0.385356E-03  -0.191752E+02   0.679039E+00  -0.917505E-06   0.385356E-03  -0.917505E-06   0.106286E-06
    95   0.254497E+04  -0.198287E+02   0.380555E-03  -0.198287E+02   0.694376E+00  -0.902717E-06   0.380555E-03  -0.902717E-06   0.105628E-06
