#    L    TxT            TxE            TxP            ExT            ExE            ExP            PxT            PxE            PxP         
  2723   0.542526E+02  -0.269575E+01   0.198429E-06  -0.269575E+01   0.130011E+01   0.967902E-09   0.198429E-06   0.967902E-09   0.712069E-09
  2724   0.541029E+02  -0.265347E+01   0.197697E-06  -0.265347E+01   0.129416E+01   0.111104E-08   0.197697E-06   0.111104E-08   0.711446E-09
  2725   0.539517E+02  -0.261139E+01   0.196990E-06  -0.261139E+01   0.128843E+01   0.124998E-08   0.196990E-06   0.124998E-08   0.710824E-09
  2726   0.537983E+02  -0.256945E+01   0.196261E-06  -0.256945E+01   0.128291E+01   0.138919E-08   0.196261E-06   0.138919E-08   0.710203E-09
  2727   0.536435E+02  -0.252773E+01   0.195537E-06  -0.252773E+01   0.127761E+01   0.152752E-08   0.195537E-06   0.152752E-08   0.709582E-09
  2728   0.534866E+02  -0.248619E+01   0.194803E-06  -0.248619E+01   0.127251E+01   0.166467E-08   0.194803E-06   0.166467E-08   0.708962E-09
  2729   0.533283E+02  -0.244488E+01   0.194078E-06  -0.244488E+01   0.126763E+01   0.180146E-08   0.194078E-06   0.180146E-08   0.708342E-09
  2730   0.531680E+02  -0.240377E+01   0.193340E-06  -0.240377E+01   0.126296E+01   0.193820E-08   0.193340E-06   0.193820E-08   0.707724E-09
  2731   0.530064E+02  -0.236293E+01   0.192612E-06  -0.236293E+01   0.125850E+01   0.207461E-08   0.192612E-06   0.207461E-08   0.707106E-09
  2732   0.528428E+02  -0.232231E+01   0.191870E-06  -0.232231E+01   0.125425E+01   0.221094E-08   0.191870E-06   0.221094E-08   0.706488E-09
  2733   0.526778E+02  -0.228197E+01   0.191130E-06  -0.228197E+01   0.125021E+01   0.234681E-08   0.191130E-06   0.234681E-08   0.705872E-09
  2734   0.525111E+02  -0.224189E+01   0.190373E-06  -0.224189E+01   0.124637E+01   0.248258E-08   0.190373E-06   0.248258E-08   0.705256E-09
  2735   0.523430E+02  -0.220210E+01   0.189618E-06  -0.220210E+01   0.124275E+01   0.261726E-08   0.189618E-06   0.261726E-08   0.704640E-09
  2736   0.521731E+02  -0.216261E+01   0.188883E-06  -0.216261E+01   0.123933E+01   0.274662E-08   0.188883E-06   0.274662E-08   0.704026E-09
  2737   0.520020E+02  -0.212342E+01   0.188144E-06  -0.212342E+01   0.123611E+01   0.287581E-08   0.188144E-06   0.287581E-08   0.703412E-09
  2738   0.518292E+02  -0.208455E+01   0.187391E-06  -0.208455E+01   0.123310E+01   0.300488E-08   0.187391E-06   0.300488E-08   0.702799E-09
  2739   0.516553E+02  -0.204602E+01   0.186653E-06  -0.204602E+01   0.123029E+01   0.313235E-08   0.186653E-06   0.313235E-08   0.702186E-09
  2740   0.514796E+02  -0.200781E+01   0.185907E-06  -0.200781E+01   0.122768E+01   0.325957E-08   0.185907E-06   0.325957E-08   0.701574E-09
  2741   0.513029E+02  -0.196997E+01   0.185168E-06  -0.196997E+01   0.122527E+01   0.338656E-08   0.185168E-06   0.338656E-08   0.700963E-09
  2742   0.511245E+02  -0.193247E+01   0.184422E-06  -0.193247E+01   0.122306E+01   0.351317E-08   0.184422E-06   0.351317E-08   0.700352E-09
  2743   0.509452E+02  -0.189536E+01   0.183678E-06  -0.189536E+01   0.122104E+01   0.363954E-08   0.183678E-06   0.363954E-08   0.699742E-09
  2744   0.507643E+02  -0.185862E+01   0.182919E-06  -0.185862E+01   0.121922E+01   0.376546E-08   0.182919E-06   0.376546E-08   0.699133E-09
  2745   0.505824E+02  -0.182227E+01   0.182155E-06  -0.182227E+01   0.121759E+01   0.389123E-08   0.182155E-06   0.389123E-08   0.698524E-09
  2746   0.503990E+02  -0.178632E+01   0.181375E-06  -0.178632E+01   0.121615E+01   0.401648E-08   0.181375E-06   0.401648E-08   0.697916E-09
  2747   0.502148E+02  -0.175078E+01   0.180628E-06  -0.175078E+01   0.121490E+01   0.413780E-08   0.180628E-06   0.413780E-08   0.697309E-09
  2748   0.500291E+02  -0.171566E+01   0.179877E-06  -0.171566E+01   0.121383E+01   0.425781E-08   0.179877E-06   0.425781E-08   0.696702E-09
  2749   0.498426E+02  -0.168096E+01   0.179128E-06  -0.168096E+01   0.121296E+01   0.437769E-08   0.179128E-06   0.437769E-08   0.696096E-09
  2750   0.496549E+02  -0.164670E+01   0.178381E-06  -0.164670E+01   0.121226E+01   0.449618E-08   0.178381E-06   0.449618E-08   0.695491E-09
  2751   0.494663E+02  -0.161288E+01   0.177646E-06  -0.161288E+01   0.121175E+01   0.461387E-08   0.177646E-06   0.461387E-08   0.694886E-09
  2752   0.492765E+02  -0.157952E+01   0.176905E-06  -0.157952E+01   0.121141E+01   0.473072E-08   0.176905E-06   0.473072E-08   0.694282E-09
  2753   0.490859E+02  -0.154662E+01   0.176168E-06  -0.154662E+01   0.121125E+01   0.484707E-08   0.176168E-06   0.484707E-08   0.693679E-09
  2754   0.488943E+02  -0.151418E+01   0.175420E-06  -0.151418E+01   0.121127E+01   0.496236E-08   0.175420E-06   0.496236E-08   0.693076E-09
  2755   0.487019E+02  -0.148222E+01   0.174668E-06  -0.148222E+01   0.121146E+01   0.507705E-08   0.174668E-06   0.507705E-08   0.692474E-09
  2756   0.485086E+02  -0.145074E+01   0.173900E-06  -0.145074E+01   0.121181E+01   0.519061E-08   0.173900E-06   0.519061E-08   0.691873E-09
  2757   0.483146E+02  -0.141975E+01   0.173128E-06  -0.141975E+01   0.121234E+01   0.530354E-08   0.173128E-06   0.530354E-08   0.691272E-09
  2758   0.481196E+02  -0.138927E+01   0.172363E-06  -0.138927E+01   0.121303E+01   0.541382E-08   0.172363E-06   0.541382E-08   0.690672E-09
  2759   0.479242E+02  -0.135928E+01   0.171621E-06  -0.135928E+01   0.121388E+01   0.552211E-08   0.171621E-06   0.552211E-08   0.690072E-09
  2760   0.477278E+02  -0.132980E+01   0.170873E-06  -0.132980E+01   0.121489E+01   0.562940E-08   0.170873E-06   0.562940E-08   0.689473E-09
  2761   0.475310E+02  -0.130084E+01   0.170135E-06  -0.130084E+01   0.121606E+01   0.573601E-08   0.170135E-06   0.573601E-08   0.688875E-09
  2762   0.473334E+02  -0.127240E+01   0.169402E-06  -0.127240E+01   0.121738E+01   0.584114E-08   0.169402E-06   0.584114E-08   0.688278E-09
  2763   0.471353E+02  -0.124449E+01   0.168671E-06  -0.124449E+01   0.121886E+01   0.594591E-08   0.168671E-06   0.594591E-08   0.687681E-09
  2764   0.469366E+02  -0.121711E+01   0.167932E-06  -0.121711E+01   0.122048E+01   0.604954E-08   0.167932E-06   0.604954E-08   0.687085E-09
  2765   0.467376E+02  -0.119027E+01   0.167191E-06  -0.119027E+01   0.122225E+01   0.615259E-08   0.167191E-06   0.615259E-08   0.686489E-09
  2766   0.465379E+02  -0.116398E+01   0.166436E-06  -0.116398E+01   0.122416E+01   0.625443E-08   0.166436E-06   0.625443E-08   0.685894E-09
  2767   0.463380E+02  -0.113823E+01   0.165675E-06  -0.113823E+01   0.122622E+01   0.635575E-08   0.165675E-06   0.635575E-08   0.685300E-09
  2768   0.461378E+02  -0.111303E+01   0.164908E-06  -0.111303E+01   0.122841E+01   0.645628E-08   0.164908E-06   0.645628E-08   0.684706E-09
  2769   0.459369E+02  -0.108840E+01   0.164131E-06  -0.108840E+01   0.123073E+01   0.655506E-08   0.164131E-06   0.655506E-08   0.684113E-09
  2770   0.457360E+02  -0.106432E+01   0.163402E-06  -0.106432E+01   0.123319E+01   0.665228E-08   0.163402E-06   0.665228E-08   0.683521E-09
  2771   0.455345E+02  -0.104082E+01   0.162663E-06  -0.104082E+01   0.123578E+01   0.674808E-08   0.162663E-06   0.674808E-08   0.682929E-09
  2772   0.453332E+02  -0.101788E+01   0.161937E-06  -0.101788E+01   0.123849E+01   0.684379E-08   0.161937E-06   0.684379E-08   0.682338E-09
  2773   0.451313E+02  -0.995529E+00   0.161212E-06  -0.995529E+00   0.124132E+01   0.693773E-08   0.161212E-06   0.693773E-08   0.681748E-09
  2774   0.449296E+02  -0.973741E+00   0.160498E-06  -0.973741E+00   0.124428E+01   0.703141E-08   0.160498E-06   0.703141E-08   0.681158E-09
  2775   0.447275E+02  -0.952543E+00   0.159768E-06  -0.952543E+00   0.124734E+01   0.712338E-08   0.159768E-06   0.712338E-08   0.680569E-09
  2776   0.445256E+02  -0.931916E+00   0.159041E-06  -0.931916E+00   0.125053E+01   0.721500E-08   0.159041E-06   0.721500E-08   0.679980E-09
  2777   0.443234E+02  -0.911887E+00   0.158295E-06  -0.911887E+00   0.125382E+01   0.730472E-08   0.158295E-06   0.730472E-08   0.679392E-09
  2778   0.441214E+02  -0.892433E+00   0.157552E-06  -0.892433E+00   0.125722E+01   0.739396E-08   0.157552E-06   0.739396E-08   0.678805E-09
  2779   0.439193E+02  -0.873581E+00   0.156794E-06  -0.873581E+00   0.126072E+01   0.748104E-08   0.156794E-06   0.748104E-08   0.678218E-09
  2780   0.437175E+02  -0.855308E+00   0.156045E-06  -0.855308E+00   0.126432E+01   0.756756E-08   0.156045E-06   0.756756E-08   0.677632E-09
  2781   0.435155E+02  -0.837641E+00   0.155322E-06  -0.837641E+00   0.126802E+01   0.765168E-08   0.155322E-06   0.765168E-08   0.677047E-09
  2782   0.433139E+02  -0.820554E+00   0.154619E-06  -0.820554E+00   0.127181E+01   0.773534E-08   0.154619E-06   0.773534E-08   0.676462E-09
  2783   0.431123E+02  -0.804078E+00   0.153907E-06  -0.804078E+00   0.127569E+01   0.781703E-08   0.153907E-06   0.781703E-08   0.675878E-09
  2784   0.429112E+02  -0.788183E+00   0.153211E-06  -0.788183E+00   0.127966E+01   0.789836E-08   0.153211E-06   0.789836E-08   0.675294E-09
  2785   0.427101E+02  -0.772900E+00   0.152506E-06  -0.772900E+00   0.128372E+01   0.797768E-08   0.152506E-06   0.797768E-08   0.674712E-09
  2786   0.425095E+02  -0.758198E+00   0.151803E-06  -0.758198E+00   0.128785E+01   0.805660E-08   0.151803E-06   0.805660E-08   0.674129E-09
  2787   0.423091E+02  -0.744110E+00   0.151082E-06  -0.744110E+00   0.129206E+01   0.813350E-08   0.151082E-06   0.813350E-08   0.673548E-09
  2788   0.421092E+02  -0.730602E+00   0.150363E-06  -0.730602E+00   0.129635E+01   0.820993E-08   0.150363E-06   0.820993E-08   0.672967E-09
  2789   0.419096E+02  -0.717709E+00   0.149629E-06  -0.717709E+00   0.130070E+01   0.828414E-08   0.149629E-06   0.828414E-08   0.672386E-09
  2790   0.417106E+02  -0.705394E+00   0.148903E-06  -0.705394E+00   0.130512E+01   0.835781E-08   0.148903E-06   0.835781E-08   0.671807E-09
  2791   0.415119E+02  -0.693693E+00   0.148168E-06  -0.693693E+00   0.130961E+01   0.842926E-08   0.148168E-06   0.842926E-08   0.671227E-09
  2792   0.413139E+02  -0.682569E+00   0.147465E-06  -0.682569E+00   0.131416E+01   0.850074E-08   0.147465E-06   0.850074E-08   0.670649E-09
  2793   0.411163E+02  -0.672058E+00   0.146777E-06  -0.672058E+00   0.131875E+01   0.857062E-08   0.146777E-06   0.857062E-08   0.670071E-09
  2794   0.409195E+02  -0.662120E+00   0.146098E-06  -0.662120E+00   0.132341E+01   0.864016E-08   0.146098E-06   0.864016E-08   0.669494E-09
  2795   0.407230E+02  -0.652794E+00   0.145412E-06  -0.652794E+00   0.132811E+01   0.870776E-08   0.145412E-06   0.870776E-08   0.668917E-09
  2796   0.405275E+02  -0.644036E+00   0.144736E-06  -0.644036E+00   0.133287E+01   0.877536E-08   0.144736E-06   0.877536E-08   0.668341E-09
  2797   0.403324E+02  -0.635888E+00   0.144043E-06  -0.635888E+00   0.133766E+01   0.884084E-08   0.144043E-06   0.884084E-08   0.667766E-09
  2798   0.401383E+02  -0.628303E+00   0.143352E-06  -0.628303E+00   0.134250E+01   0.890600E-08   0.143352E-06   0.890600E-08   0.667191E-09
  2799   0.399447E+02  -0.621323E+00   0.142648E-06  -0.621323E+00   0.134736E+01   0.896897E-08   0.142648E-06   0.896897E-08   0.666617E-09
  2800   0.397522E+02  -0.614903E+00   0.141951E-06  -0.614903E+00   0.135227E+01   0.903141E-08   0.141951E-06   0.903141E-08   0.666043E-09
  2801   0.395602E+02  -0.609081E+00   0.141246E-06  -0.609081E+00   0.135720E+01   0.909144E-08   0.141246E-06   0.909144E-08   0.665470E-09
  2802   0.393693E+02  -0.603812E+00   0.140554E-06  -0.603812E+00   0.136216E+01   0.915086E-08   0.140554E-06   0.915086E-08   0.664898E-09
  2803   0.391791E+02  -0.599137E+00   0.139866E-06  -0.599137E+00   0.136714E+01   0.920809E-08   0.139866E-06   0.920809E-08   0.664326E-09
  2804   0.389900E+02  -0.595008E+00   0.139222E-06  -0.595008E+00   0.137214E+01   0.926632E-08   0.139222E-06   0.926632E-08   0.663755E-09
  2805   0.388017E+02  -0.591465E+00   0.138569E-06  -0.591465E+00   0.137715E+01   0.932208E-08   0.138569E-06   0.932208E-08   0.663185E-09
  2806   0.386145E+02  -0.588461E+00   0.137921E-06  -0.588461E+00   0.138219E+01   0.937719E-08   0.137921E-06   0.937719E-08   0.662615E-09
  2807   0.384281E+02  -0.586035E+00   0.137268E-06  -0.586035E+00   0.138722E+01   0.943046E-08   0.137268E-06   0.943046E-08   0.662045E-09
  2808   0.382430E+02  -0.584140E+00   0.136615E-06  -0.584140E+00   0.139227E+01   0.948314E-08   0.136615E-06   0.948314E-08   0.661477E-09
  2809   0.380588E+02  -0.582815E+00   0.135950E-06  -0.582815E+00   0.139731E+01   0.953326E-08   0.135950E-06   0.953326E-08   0.660909E-09
  2810   0.378758E+02  -0.582010E+00   0.135288E-06  -0.582010E+00   0.140237E+01   0.958287E-08   0.135288E-06   0.958287E-08   0.660341E-09
  2811   0.376937E+02  -0.581767E+00   0.134620E-06  -0.581767E+00   0.140741E+01   0.962990E-08   0.134620E-06   0.962990E-08   0.659774E-09
  2812   0.375130E+02  -0.582034E+00   0.133962E-06  -0.582034E+00   0.141245E+01   0.967620E-08   0.133962E-06   0.967620E-08   0.659208E-09
  2813   0.373333E+02  -0.582852E+00   0.133302E-06  -0.582852E+00   0.141747E+01   0.971991E-08   0.133302E-06   0.971991E-08   0.658643E-09
  2814   0.371549E+02  -0.584170E+00   0.132654E-06  -0.584170E+00   0.142249E+01   0.976287E-08   0.132654E-06   0.976287E-08   0.658078E-09
  2815   0.369776E+02  -0.586029E+00   0.132032E-06  -0.586029E+00   0.142749E+01   0.980598E-08   0.132032E-06   0.980598E-08   0.657513E-09
  2816   0.368018E+02  -0.588377E+00   0.131419E-06  -0.588377E+00   0.143247E+01   0.984897E-08   0.131419E-06   0.984897E-08   0.656949E-09
  2817   0.366270E+02  -0.591254E+00   0.130794E-06  -0.591254E+00   0.143742E+01   0.988943E-08   0.130794E-06   0.988943E-08   0.656386E-09
  2818   0.364537E+02  -0.594608E+00   0.130176E-06  -0.594608E+00   0.144236E+01   0.992990E-08   0.130176E-06   0.992990E-08   0.655823E-09
  2819   0.362815E+02  -0.598480E+00   0.129548E-06  -0.598480E+00   0.144726E+01   0.996814E-08   0.129548E-06   0.996814E-08   0.655261E-09
  2820   0.361109E+02  -0.602816E+00   0.128921E-06  -0.602816E+00   0.145213E+01   0.100059E-07   0.128921E-06   0.100059E-07   0.654700E-09
  2821   0.359415E+02  -0.607658E+00   0.128288E-06  -0.607658E+00   0.145696E+01   0.100412E-07   0.128288E-06   0.100412E-07   0.654139E-09
  2822   0.357736E+02  -0.612952E+00   0.127664E-06  -0.612952E+00   0.146177E+01   0.100761E-07   0.127664E-06   0.100761E-07   0.653579E-09
  2823   0.356069E+02  -0.618739E+00   0.127040E-06  -0.618739E+00   0.146652E+01   0.101084E-07   0.127040E-06   0.101084E-07   0.653019E-09
  2824   0.354419E+02  -0.624964E+00   0.126429E-06  -0.624964E+00   0.147124E+01   0.101401E-07   0.126429E-06   0.101401E-07   0.652460E-09
  2825   0.352781E+02  -0.631667E+00   0.125815E-06  -0.631667E+00   0.147591E+01   0.101692E-07   0.125815E-06   0.101692E-07   0.651902E-09
  2826   0.351160E+02  -0.638796E+00   0.125227E-06  -0.638796E+00   0.148053E+01   0.101998E-07   0.125227E-06   0.101998E-07   0.651344E-09
  2827   0.349552E+02  -0.646389E+00   0.124647E-06  -0.646389E+00   0.148509E+01   0.102297E-07   0.124647E-06   0.102297E-07   0.650787E-09
  2828   0.347961E+02  -0.654392E+00   0.124067E-06  -0.654392E+00   0.148961E+01   0.102589E-07   0.124067E-06   0.102589E-07   0.650230E-09
  2829   0.346383E+02  -0.662845E+00   0.123478E-06  -0.662845E+00   0.149406E+01   0.102856E-07   0.123478E-06   0.102856E-07   0.649674E-09
  2830   0.344822E+02  -0.671693E+00   0.122898E-06  -0.671693E+00   0.149847E+01   0.103123E-07   0.122898E-06   0.103123E-07   0.649118E-09
  2831   0.343275E+02  -0.680976E+00   0.122310E-06  -0.680976E+00   0.150280E+01   0.103363E-07   0.122310E-06   0.103363E-07   0.648563E-09
  2832   0.341746E+02  -0.690639E+00   0.121731E-06  -0.690639E+00   0.150707E+01   0.103595E-07   0.121731E-06   0.103595E-07   0.648009E-09
  2833   0.340231E+02  -0.700720E+00   0.121152E-06  -0.700720E+00   0.151127E+01   0.103800E-07   0.121152E-06   0.103800E-07   0.647455E-09
  2834   0.338732E+02  -0.711171E+00   0.120583E-06  -0.711171E+00   0.151541E+01   0.103996E-07   0.120583E-06   0.103996E-07   0.646902E-09
  2835   0.337250E+02  -0.722015E+00   0.120017E-06  -0.722015E+00   0.151946E+01   0.104164E-07   0.120017E-06   0.104164E-07   0.646350E-09
  2836   0.335784E+02  -0.733216E+00   0.119455E-06  -0.733216E+00   0.152345E+01   0.104324E-07   0.119455E-06   0.104324E-07   0.645798E-09
  2837   0.334334E+02  -0.744793E+00   0.118897E-06  -0.744793E+00   0.152736E+01   0.104467E-07   0.118897E-06   0.104467E-07   0.645246E-09
  2838   0.332901E+02  -0.756712E+00   0.118362E-06  -0.756712E+00   0.153119E+01   0.104643E-07   0.118362E-06   0.104643E-07   0.644696E-09
  2839   0.331484E+02  -0.768989E+00   0.117819E-06  -0.768989E+00   0.153493E+01   0.104791E-07   0.117819E-06   0.104791E-07   0.644145E-09
  2840   0.330085E+02  -0.781592E+00   0.117275E-06  -0.781592E+00   0.153860E+01   0.104931E-07   0.117275E-06   0.104931E-07   0.643596E-09
  2841   0.328701E+02  -0.794534E+00   0.116733E-06  -0.794534E+00   0.154217E+01   0.105056E-07   0.116733E-06   0.105056E-07   0.643047E-09
  2842   0.327336E+02  -0.807785E+00   0.116196E-06  -0.807785E+00   0.154567E+01   0.105174E-07   0.116196E-06   0.105174E-07   0.642498E-09
  2843   0.325986E+02  -0.821358E+00   0.115661E-06  -0.821358E+00   0.154906E+01   0.105265E-07   0.115661E-06   0.105265E-07   0.641950E-09
  2844   0.324655E+02  -0.835223E+00   0.115133E-06  -0.835223E+00   0.155237E+01   0.105348E-07   0.115133E-06   0.105348E-07   0.641403E-09
  2845   0.323340E+02  -0.849391E+00   0.114609E-06  -0.849391E+00   0.155558E+01   0.105405E-07   0.114609E-06   0.105405E-07   0.640856E-09
  2846   0.322042E+02  -0.863835E+00   0.114090E-06  -0.863835E+00   0.155870E+01   0.105455E-07   0.114090E-06   0.105455E-07   0.640310E-09
  2847   0.320762E+02  -0.878563E+00   0.113570E-06  -0.878563E+00   0.156172E+01   0.105480E-07   0.113570E-06   0.105480E-07   0.639764E-09
  2848   0.319499E+02  -0.893549E+00   0.113050E-06  -0.893549E+00   0.156464E+01   0.105498E-07   0.113050E-06   0.105498E-07   0.639219E-09
  2849   0.318254E+02  -0.908802E+00   0.112549E-06  -0.908802E+00   0.156745E+01   0.105543E-07   0.112549E-06   0.105543E-07   0.638675E-09
  2850   0.317026E+02  -0.924295E+00   0.112048E-06  -0.924295E+00   0.157017E+01   0.105586E-07   0.112048E-06   0.105586E-07   0.638131E-09
  2851   0.315815E+02  -0.940036E+00   0.111546E-06  -0.940036E+00   0.157277E+01   0.105603E-07   0.111546E-06   0.105603E-07   0.637588E-09
  2852   0.314623E+02  -0.955999E+00   0.111051E-06  -0.955999E+00   0.157527E+01   0.105621E-07   0.111051E-06   0.105621E-07   0.637045E-09
  2853   0.313447E+02  -0.972191E+00   0.110563E-06  -0.972191E+00   0.157766E+01   0.105617E-07   0.110563E-06   0.105617E-07   0.636503E-09
  2854   0.312289E+02  -0.988587E+00   0.110082E-06  -0.988587E+00   0.157995E+01   0.105603E-07   0.110082E-06   0.105603E-07   0.635962E-09
  2855   0.311150E+02  -0.100518E+01   0.109611E-06  -0.100518E+01   0.158213E+01   0.105575E-07   0.109611E-06   0.105575E-07   0.635421E-09
  2856   0.310026E+02  -0.102199E+01   0.109139E-06  -0.102199E+01   0.158418E+01   0.105512E-07   0.109139E-06   0.105512E-07   0.634880E-09
  2857   0.308922E+02  -0.103896E+01   0.108676E-06  -0.103896E+01   0.158613E+01   0.105447E-07   0.108676E-06   0.105447E-07   0.634340E-09
  2858   0.307834E+02  -0.105612E+01   0.108206E-06  -0.105612E+01   0.158795E+01   0.105347E-07   0.108206E-06   0.105347E-07   0.633801E-09
  2859   0.306765E+02  -0.107343E+01   0.107738E-06  -0.107343E+01   0.158967E+01   0.105244E-07   0.107738E-06   0.105244E-07   0.633262E-09
  2860   0.305712E+02  -0.109092E+01   0.107276E-06  -0.109092E+01   0.159125E+01   0.105147E-07   0.107276E-06   0.105147E-07   0.632724E-09
  2861   0.304678E+02  -0.110854E+01   0.106827E-06  -0.110854E+01   0.159274E+01   0.105075E-07   0.106827E-06   0.105075E-07   0.632187E-09
  2862   0.303660E+02  -0.112631E+01   0.106374E-06  -0.112631E+01   0.159408E+01   0.104970E-07   0.106374E-06   0.104970E-07   0.631650E-09
  2863   0.302660E+02  -0.114419E+01   0.105933E-06  -0.114419E+01   0.159533E+01   0.104867E-07   0.105933E-06   0.104867E-07   0.631113E-09
  2864   0.301678E+02  -0.116221E+01   0.105497E-06  -0.116221E+01   0.159643E+01   0.104741E-07   0.105497E-06   0.104741E-07   0.630577E-09
  2865   0.300713E+02  -0.118032E+01   0.105074E-06  -0.118032E+01   0.159743E+01   0.104611E-07   0.105074E-06   0.104611E-07   0.630042E-09
  2866   0.299765E+02  -0.119854E+01   0.104651E-06  -0.119854E+01   0.159829E+01   0.104447E-07   0.104651E-06   0.104447E-07   0.629507E-09
  2867   0.298835E+02  -0.121684E+01   0.104237E-06  -0.121684E+01   0.159903E+01   0.104280E-07   0.104237E-06   0.104280E-07   0.628973E-09
  2868   0.297921E+02  -0.123524E+01   0.103818E-06  -0.123524E+01   0.159964E+01   0.104080E-07   0.103818E-06   0.104080E-07   0.628439E-09
  2869   0.297026E+02  -0.125370E+01   0.103400E-06  -0.125370E+01   0.160014E+01   0.103878E-07   0.103400E-06   0.103878E-07   0.627906E-09
  2870   0.296146E+02  -0.127223E+01   0.102973E-06  -0.127223E+01   0.160049E+01   0.103644E-07   0.102973E-06   0.103644E-07   0.627374E-09
  2871   0.295285E+02  -0.129080E+01   0.102555E-06  -0.129080E+01   0.160074E+01   0.103426E-07   0.102555E-06   0.103426E-07   0.626842E-09
  2872   0.294440E+02  -0.130943E+01   0.102149E-06  -0.130943E+01   0.160084E+01   0.103232E-07   0.102149E-06   0.103232E-07   0.626310E-09
  2873   0.293612E+02  -0.132809E+01   0.101749E-06  -0.132809E+01   0.160082E+01   0.103037E-07   0.101749E-06   0.103037E-07   0.625780E-09
  2874   0.292800E+02  -0.134678E+01   0.101352E-06  -0.134678E+01   0.160067E+01   0.102810E-07   0.101352E-06   0.102810E-07   0.625249E-09
  2875   0.292005E+02  -0.136548E+01   0.100972E-06  -0.136548E+01   0.160039E+01   0.102598E-07   0.100972E-06   0.102598E-07   0.624720E-09
  2876   0.291227E+02  -0.138420E+01   0.100596E-06  -0.138420E+01   0.159998E+01   0.102355E-07   0.100596E-06   0.102355E-07   0.624190E-09
  2877   0.290465E+02  -0.140290E+01   0.100229E-06  -0.140290E+01   0.159945E+01   0.102109E-07   0.100229E-06   0.102109E-07   0.623662E-09
  2878   0.289719E+02  -0.142161E+01   0.998612E-07  -0.142161E+01   0.159877E+01   0.101830E-07   0.998612E-07   0.101830E-07   0.623134E-09
  2879   0.288990E+02  -0.144030E+01   0.994960E-07  -0.144030E+01   0.159798E+01   0.101548E-07   0.994960E-07   0.101548E-07   0.622606E-09
  2880   0.288277E+02  -0.145896E+01   0.991245E-07  -0.145896E+01   0.159704E+01   0.101232E-07   0.991245E-07   0.101232E-07   0.622079E-09
  2881   0.287580E+02  -0.147759E+01   0.987557E-07  -0.147759E+01   0.159599E+01   0.100912E-07   0.987557E-07   0.100912E-07   0.621553E-09
  2882   0.286898E+02  -0.149617E+01   0.983833E-07  -0.149617E+01   0.159479E+01   0.100561E-07   0.983833E-07   0.100561E-07   0.621027E-09
  2883   0.286232E+02  -0.151470E+01   0.980333E-07  -0.151470E+01   0.159348E+01   0.100280E-07   0.980333E-07   0.100280E-07   0.620502E-09
  2884   0.285581E+02  -0.153318E+01   0.976864E-07  -0.153318E+01   0.159202E+01   0.999723E-08   0.976864E-07   0.999723E-08   0.619977E-09
  2885   0.284947E+02  -0.155158E+01   0.973517E-07  -0.155158E+01   0.159045E+01   0.996608E-08   0.973517E-07   0.996608E-08   0.619453E-09
  2886   0.284326E+02  -0.156991E+01   0.970251E-07  -0.156991E+01   0.158873E+01   0.993307E-08   0.970251E-07   0.993307E-08   0.618929E-09
  2887   0.283722E+02  -0.158815E+01   0.967106E-07  -0.158815E+01   0.158690E+01   0.990026E-08   0.967106E-07   0.990026E-08   0.618406E-09
  2888   0.283132E+02  -0.160630E+01   0.963960E-07  -0.160630E+01   0.158492E+01   0.986425E-08   0.963960E-07   0.986425E-08   0.617883E-09
  2889   0.282557E+02  -0.162435E+01   0.960841E-07  -0.162435E+01   0.158283E+01   0.982773E-08   0.960841E-07   0.982773E-08   0.617361E-09
  2890   0.281996E+02  -0.164229E+01   0.957673E-07  -0.164229E+01   0.158060E+01   0.978805E-08   0.957673E-07   0.978805E-08   0.616840E-09
  2891   0.281450E+02  -0.166012E+01   0.954523E-07  -0.166012E+01   0.157825E+01   0.974778E-08   0.954523E-07   0.974778E-08   0.616319E-09
  2892   0.280918E+02  -0.167782E+01   0.951326E-07  -0.167782E+01   0.157577E+01   0.970445E-08   0.951326E-07   0.970445E-08   0.615799E-09
  2893   0.280401E+02  -0.169539E+01   0.948175E-07  -0.169539E+01   0.157317E+01   0.966071E-08   0.948175E-07   0.966071E-08   0.615279E-09
  2894   0.279896E+02  -0.171282E+01   0.945122E-07  -0.171282E+01   0.157042E+01   0.961903E-08   0.945122E-07   0.961903E-08   0.614760E-09
  2895   0.279406E+02  -0.173010E+01   0.942226E-07  -0.173010E+01   0.156757E+01   0.958020E-08   0.942226E-07   0.958020E-08   0.614241E-09
  2896   0.278929E+02  -0.174723E+01   0.939384E-07  -0.174723E+01   0.156458E+01   0.953841E-08   0.939384E-07   0.953841E-08   0.613723E-09
  2897   0.278466E+02  -0.176419E+01   0.936650E-07  -0.176419E+01   0.156148E+01   0.949692E-08   0.936650E-07   0.949692E-08   0.613205E-09
  2898   0.278015E+02  -0.178099E+01   0.933953E-07  -0.178099E+01   0.155824E+01   0.945408E-08   0.933953E-07   0.945408E-08   0.612688E-09
  2899   0.277578E+02  -0.179761E+01   0.931302E-07  -0.179761E+01   0.155490E+01   0.941083E-08   0.931302E-07   0.941083E-08   0.612171E-09
  2900   0.277153E+02  -0.181405E+01   0.928620E-07  -0.181405E+01   0.155141E+01   0.936473E-08   0.928620E-07   0.936473E-08   0.611655E-09
