#    L    TT             EE             BB             TE          
   167   0.490845E+04   0.965377E+00   0.892126E-02  -0.431795E+02
   168   0.493649E+04   0.955106E+00   0.904044E-02  -0.427725E+02
   169   0.496456E+04   0.944710E+00   0.916061E-02  -0.423420E+02
   170   0.499180E+04   0.934130E+00   0.928177E-02  -0.418797E+02
   171   0.501875E+04   0.923465E+00   0.940391E-02  -0.413915E+02
   172   0.504548E+04   0.912684E+00   0.952704E-02  -0.408759E+02
   173   0.507169E+04   0.901853E+00   0.965116E-02  -0.403327E+02
   174   0.509804E+04   0.891004E+00   0.977626E-02  -0.397660E+02
   175   0.512318E+04   0.880086E+00   0.990235E-02  -0.391652E+02
   176   0.514818E+04   0.869223E+00   0.100294E-01  -0.385402E+02
   177   0.517270E+04   0.858350E+00   0.101575E-01  -0.378855E+02
   178   0.519662E+04   0.847566E+00   0.102865E-01  -0.372036E+02
   179   0.522044E+04   0.836856E+00   0.104165E-01  -0.364957E+02
   180   0.524389E+04   0.826282E+00   0.105474E-01  -0.357614E+02
   181   0.526664E+04   0.815838E+00   0.106793E-01  -0.349983E+02
   182   0.528928E+04   0.805597E+00   0.108122E-01  -0.342110E+02
   183   0.531100E+04   0.795532E+00   0.109460E-01  -0.333931E+02
   184   0.533242E+04   0.785730E+00   0.110808E-01  -0.325505E+02
   185   0.535338E+04   0.776174E+00   0.112165E-01  -0.316802E+02
   186   0.537380E+04   0.766933E+00   0.113531E-01  -0.307840E+02
   187   0.539423E+04   0.758039E+00   0.114906E-01  -0.298647E+02
   188   0.541348E+04   0.749476E+00   0.116290E-01  -0.289147E+02
   189   0.543262E+04   0.741346E+00   0.117684E-01  -0.279424E+02
   190   0.545100E+04   0.733615E+00   0.119086E-01  -0.269418E+02
   191   0.546880E+04   0.726368E+00   0.120497E-01  -0.259166E+02
   192   0.548632E+04   0.719607E+00   0.121916E-01  -0.248668E+02
   193   0.550336E+04   0.713390E+00   0.123345E-01  -0.237929E+02
   194   0.551975E+04   0.707731E+00   0.124781E-01  -0.226937E+02
   195   0.553596E+04   0.702689E+00   0.126227E-01  -0.215727E+02
   196   0.555122E+04   0.698269E+00   0.127680E-01  -0.204254E+02
   197   0.556617E+04   0.694535E+00   0.129142E-01  -0.192563E+02
   198   0.558049E+04   0.691496E+00   0.130611E-01  -0.180630E+02
   199   0.559427E+04   0.689211E+00   0.132089E-01  -0.168476E+02
   200   0.560761E+04   0.687700E+00   0.133575E-01  -0.156100E+02
   201   0.562042E+04   0.687012E+00   0.135068E-01  -0.143508E+02
   202   0.563279E+04   0.687184E+00   0.136570E-01  -0.130710E+02
   203   0.564418E+04   0.688227E+00   0.138078E-01  -0.117676E+02
   204   0.565505E+04   0.690208E+00   0.139595E-01  -0.104445E+02
   205   0.566535E+04   0.693144E+00   0.141118E-01  -0.910045E+01
   206   0.567505E+04   0.697085E+00   0.142649E-01  -0.773695E+01
   207   0.568405E+04   0.702059E+00   0.144187E-01  -0.635368E+01
   208   0.569264E+04   0.708110E+00   0.145732E-01  -0.495227E+01
   209   0.570023E+04   0.715266E+00   0.147284E-01  -0.353116E+01
   210   0.570741E+04   0.723571E+00   0.148842E-01  -0.209306E+01
   211   0.571374E+04   0.733052E+00   0.150407E-01  -0.636525E+00
   212   0.571948E+04   0.743754E+00   0.151979E-01   0.836396E+00
   213   0.572463E+04   0.755706E+00   0.153556E-01   0.232571E+01
   214   0.572917E+04   0.768948E+00   0.155140E-01   0.383070E+01
   215   0.573301E+04   0.783512E+00   0.156729E-01   0.535091E+01
   216   0.573637E+04   0.799436E+00   0.158325E-01   0.688533E+01
   217   0.573901E+04   0.816754E+00   0.159926E-01   0.843383E+01
   218   0.574094E+04   0.835497E+00   0.161532E-01   0.999611E+01
   219   0.574232E+04   0.855702E+00   0.163143E-01   0.115710E+02
   220   0.574302E+04   0.877402E+00   0.164759E-01   0.131580E+02
   221   0.574333E+04   0.900631E+00   0.166380E-01   0.147564E+02
   222   0.574273E+04   0.925422E+00   0.168006E-01   0.163658E+02
   223   0.574179E+04   0.951807E+00   0.169636E-01   0.179852E+02
   224   0.573996E+04   0.979818E+00   0.171270E-01   0.196144E+02
   225   0.573764E+04   0.100949E+01   0.172908E-01   0.212525E+02
   226   0.573464E+04   0.104084E+01   0.174550E-01   0.228988E+02
   227   0.573107E+04   0.107392E+01   0.176195E-01   0.245528E+02
   228   0.572683E+04   0.110875E+01   0.177844E-01   0.262135E+02
   229   0.572209E+04   0.114535E+01   0.179497E-01   0.278807E+02
   230   0.571655E+04   0.118376E+01   0.181152E-01   0.295530E+02
   231   0.571053E+04   0.122400E+01   0.182810E-01   0.312305E+02
   232   0.570375E+04   0.126611E+01   0.184471E-01   0.329118E+02
   233   0.569641E+04   0.131010E+01   0.186135E-01   0.345968E+02
   234   0.568854E+04   0.135601E+01   0.187801E-01   0.362848E+02
   235   0.567983E+04   0.140386E+01   0.189469E-01   0.379738E+02
   236   0.567077E+04   0.145367E+01   0.191139E-01   0.396652E+02
   237   0.566078E+04   0.150546E+01   0.192811E-01   0.413558E+02
   238   0.565039E+04   0.155927E+01   0.194484E-01   0.430472E+02
   239   0.563921E+04   0.161510E+01   0.196159E-01   0.447366E+02
   240   0.562752E+04   0.167299E+01   0.197835E-01   0.464253E+02
   241   0.561515E+04   0.173295E+01   0.199512E-01   0.481106E+02
   242   0.560230E+04   0.179500E+01   0.201190E-01   0.497937E+02
   243   0.558871E+04   0.185915E+01   0.202869E-01   0.514718E+02
   244   0.557470E+04   0.192544E+01   0.204548E-01   0.531465E+02
   245   0.555992E+04   0.199385E+01   0.206228E-01   0.548144E+02
   246   0.554472E+04   0.206443E+01   0.207907E-01   0.564773E+02
   247   0.552883E+04   0.213718E+01   0.209587E-01   0.581324E+02
   248   0.551247E+04   0.221211E+01   0.211266E-01   0.597807E+02
   249   0.549571E+04   0.228925E+01   0.212944E-01   0.614219E+02
   250   0.547811E+04   0.236857E+01   0.214622E-01   0.630513E+02
   251   0.546031E+04   0.245012E+01   0.216299E-01   0.646738E+02
   252   0.544168E+04   0.253388E+01   0.217974E-01   0.662831E+02
   253   0.542275E+04   0.261989E+01   0.219648E-01   0.678835E+02
   254   0.540318E+04   0.270811E+01   0.221321E-01   0.694700E+02
   255   0.538325E+04   0.279861E+01   0.222992E-01   0.710460E+02
   256   0.536272E+04   0.289131E+01   0.224660E-01   0.726068E+02
   257   0.534188E+04   0.298630E+01   0.226327E-01   0.741560E+02
   258   0.532038E+04   0.308350E+01   0.227991E-01   0.756879E+02
   259   0.529860E+04   0.318299E+01   0.229652E-01   0.772070E+02
   260   0.527617E+04   0.328469E+01   0.231311E-01   0.787075E+02
   261   0.525339E+04   0.338868E+01   0.232967E-01   0.801931E+02
   262   0.523009E+04   0.349487E+01   0.234619E-01   0.816596E+02
   263   0.520640E+04   0.360333E+01   0.236269E-01   0.831095E+02
   264   0.518222E+04   0.371399E+01   0.237915E-01   0.845390E+02
   265   0.515771E+04   0.382691E+01   0.239557E-01   0.859508E+02
   266   0.513264E+04   0.394201E+01   0.241195E-01   0.873404E+02
   267   0.510727E+04   0.405935E+01   0.242830E-01   0.887109E+02
   268   0.508147E+04   0.417891E+01   0.244461E-01   0.900603E+02
   269   0.505514E+04   0.430056E+01   0.246087E-01   0.913843E+02
   270   0.502861E+04   0.442447E+01   0.247709E-01   0.926896E+02
   271   0.500149E+04   0.455044E+01   0.249327E-01   0.939672E+02
   272   0.497425E+04   0.467863E+01   0.250939E-01   0.952254E+02
   273   0.494640E+04   0.480885E+01   0.252548E-01   0.964544E+02
   274   0.491838E+04   0.494125E+01   0.254151E-01   0.976620E+02
   275   0.488988E+04   0.507565E+01   0.255749E-01   0.988407E+02
   276   0.486114E+04   0.521219E+01   0.257343E-01   0.999959E+02
   277   0.483205E+04   0.535068E+01   0.258931E-01   0.101122E+03
   278   0.480275E+04   0.549126E+01   0.260513E-01   0.102224E+03
   279   0.477304E+04   0.563373E+01   0.262090E-01   0.103295E+03
   280   0.474319E+04   0.577823E+01   0.263661E-01   0.104341E+03
   281   0.471291E+04   0.592459E+01   0.265227E-01   0.105354E+03
   282   0.468247E+04   0.607292E+01   0.266787E-01   0.106341E+03
   283   0.465171E+04   0.622303E+01   0.268340E-01   0.107296E+03
   284   0.462075E+04   0.637506E+01   0.269887E-01   0.108222E+03
   285   0.458953E+04   0.652880E+01   0.271428E-01   0.109116E+03
   286   0.455815E+04   0.668438E+01   0.272963E-01   0.109980E+03
   287   0.452661E+04   0.684174E+01   0.274491E-01   0.110815E+03
   288   0.449464E+04   0.700061E+01   0.276013E-01   0.111612E+03
   289   0.446260E+04   0.716132E+01   0.277528E-01   0.112380E+03
   290   0.443028E+04   0.732344E+01   0.279036E-01   0.113111E+03
   291   0.439790E+04   0.748733E+01   0.280537E-01   0.113814E+03
   292   0.436519E+04   0.765255E+01   0.282031E-01   0.114477E+03
   293   0.433252E+04   0.781943E+01   0.283518E-01   0.115112E+03
   294   0.429947E+04   0.798757E+01   0.284998E-01   0.115706E+03
   295   0.426642E+04   0.815728E+01   0.286471E-01   0.116270E+03
   296   0.423312E+04   0.832816E+01   0.287937E-01   0.116794E+03
   297   0.419974E+04   0.850052E+01   0.289395E-01   0.117286E+03
   298   0.416622E+04   0.867394E+01   0.290847E-01   0.117739E+03
   299   0.413267E+04   0.884873E+01   0.292291E-01   0.118160E+03
   300   0.409892E+04   0.902450E+01   0.293727E-01   0.118540E+03
   301   0.406522E+04   0.920151E+01   0.295157E-01   0.118888E+03
   302   0.403130E+04   0.937941E+01   0.296579E-01   0.119194E+03
   303   0.399740E+04   0.955844E+01   0.297994E-01   0.119467E+03
   304   0.396340E+04   0.973826E+01   0.299402E-01   0.119699E+03
   305   0.392939E+04   0.991909E+01   0.300803E-01   0.119897E+03
   306   0.389548E+04   0.101008E+02   0.302196E-01   0.120061E+03
   307   0.386133E+04   0.102830E+02   0.303582E-01   0.120178E+03
   308   0.382737E+04   0.104662E+02   0.304961E-01   0.120266E+03
   309   0.379324E+04   0.106497E+02   0.306332E-01   0.120308E+03
   310   0.375922E+04   0.108341E+02   0.307697E-01   0.120318E+03
   311   0.372518E+04   0.110186E+02   0.309054E-01   0.120286E+03
   312   0.369124E+04   0.112040E+02   0.310404E-01   0.120220E+03
   313   0.365728E+04   0.113894E+02   0.311747E-01   0.120111E+03
   314   0.362352E+04   0.115755E+02   0.313083E-01   0.119972E+03
   315   0.358965E+04   0.117615E+02   0.314412E-01   0.119786E+03
   316   0.355600E+04   0.119480E+02   0.315734E-01   0.119568E+03
   317   0.352233E+04   0.121343E+02   0.317049E-01   0.119308E+03
   318   0.348880E+04   0.123210E+02   0.318357E-01   0.119012E+03
   319   0.345537E+04   0.125074E+02   0.319658E-01   0.118677E+03
   320   0.342210E+04   0.126940E+02   0.320952E-01   0.118307E+03
   321   0.338891E+04   0.128802E+02   0.322239E-01   0.117896E+03
   322   0.335593E+04   0.130665E+02   0.323520E-01   0.117451E+03
   323   0.332299E+04   0.132522E+02   0.324794E-01   0.116964E+03
   324   0.329028E+04   0.134378E+02   0.326062E-01   0.116443E+03
   325   0.325772E+04   0.136231E+02   0.327323E-01   0.115887E+03
   326   0.322528E+04   0.138074E+02   0.328577E-01   0.115287E+03
   327   0.319315E+04   0.139917E+02   0.329826E-01   0.114659E+03
   328   0.316106E+04   0.141748E+02   0.331068E-01   0.113985E+03
   329   0.312930E+04   0.143578E+02   0.332304E-01   0.113283E+03
   330   0.309762E+04   0.145394E+02   0.333534E-01   0.112538E+03
   331   0.306622E+04   0.147208E+02   0.334759E-01   0.111761E+03
   332   0.303500E+04   0.149007E+02   0.335978E-01   0.110945E+03
