#    L    TT             EE             TE             PP             TP          
   124   0.349757E+04   0.105231E+01  -0.380318E+02   0.404695E+07   0.460596E+04
   125   0.353203E+04   0.105967E+01  -0.385519E+02   0.402250E+07   0.455742E+04
   126   0.356685E+04   0.106660E+01  -0.390624E+02   0.399822E+07   0.451050E+04
   127   0.360187E+04   0.107309E+01  -0.395615E+02   0.397411E+07   0.446492E+04
   128   0.363689E+04   0.107913E+01  -0.400470E+02   0.395019E+07   0.442059E+04
   129   0.367177E+04   0.108471E+01  -0.405172E+02   0.392644E+07   0.437741E+04
   130   0.370648E+04   0.108982E+01  -0.409709E+02   0.390287E+07   0.433498E+04
   131   0.374108E+04   0.109445E+01  -0.414081E+02   0.387947E+07   0.429308E+04
   132   0.377577E+04   0.109860E+01  -0.418300E+02   0.385626E+07   0.425176E+04
   133   0.381083E+04   0.110229E+01  -0.422392E+02   0.383340E+07   0.421161E+04
   134   0.384591E+04   0.110550E+01  -0.426324E+02   0.381052E+07   0.417132E+04
   135   0.388074E+04   0.110822E+01  -0.430069E+02   0.378780E+07   0.413022E+04
   136   0.391517E+04   0.111044E+01  -0.433608E+02   0.376526E+07   0.408816E+04
   137   0.394935E+04   0.111215E+01  -0.436944E+02   0.374290E+07   0.404606E+04
   138   0.398362E+04   0.111337E+01  -0.440102E+02   0.372063E+07   0.400489E+04
   139   0.401811E+04   0.111411E+01  -0.443096E+02   0.369860E+07   0.396531E+04
   140   0.405266E+04   0.111436E+01  -0.445908E+02   0.367674E+07   0.392710E+04
   141   0.408708E+04   0.111413E+01  -0.448519E+02   0.365506E+07   0.389021E+04
   142   0.412128E+04   0.111341E+01  -0.450914E+02   0.363354E+07   0.385464E+04
   143   0.415511E+04   0.111221E+01  -0.453083E+02   0.361228E+07   0.381997E+04
   144   0.418882E+04   0.111049E+01  -0.455024E+02   0.359099E+07   0.378606E+04
   145   0.422231E+04   0.110831E+01  -0.456750E+02   0.357008E+07   0.375279E+04
   146   0.425614E+04   0.110564E+01  -0.458291E+02   0.354915E+07   0.372078E+04
   147   0.428961E+04   0.110252E+01  -0.459595E+02   0.352855E+07   0.368874E+04
   148   0.432343E+04   0.109898E+01  -0.460728E+02   0.350826E+07   0.365749E+04
   149   0.435622E+04   0.109489E+01  -0.461536E+02   0.348768E+07   0.362400E+04
   150   0.438873E+04   0.109042E+01  -0.462122E+02   0.346769E+07   0.359068E+04
   151   0.442148E+04   0.108546E+01  -0.462483E+02   0.344747E+07   0.355807E+04
   152   0.445360E+04   0.108010E+01  -0.462580E+02   0.342777E+07   0.352529E+04
   153   0.448580E+04   0.107431E+01  -0.462456E+02   0.340790E+07   0.349276E+04
   154   0.451797E+04   0.106815E+01  -0.462106E+02   0.338850E+07   0.346139E+04
   155   0.454924E+04   0.106156E+01  -0.461445E+02   0.336890E+07   0.342937E+04
   156   0.458065E+04   0.105463E+01  -0.460573E+02   0.334978E+07   0.339913E+04
   157   0.461142E+04   0.104728E+01  -0.459397E+02   0.333058E+07   0.336866E+04
   158   0.464199E+04   0.103960E+01  -0.457977E+02   0.331179E+07   0.333908E+04
   159   0.467265E+04   0.103154E+01  -0.456314E+02   0.329288E+07   0.331047E+04
   160   0.470295E+04   0.102317E+01  -0.454386E+02   0.327439E+07   0.328255E+04
   161   0.473364E+04   0.101450E+01  -0.452259E+02   0.325605E+07   0.325571E+04
   162   0.476327E+04   0.100545E+01  -0.449787E+02   0.323759E+07   0.322737E+04
   163   0.479284E+04   0.996165E+00  -0.447088E+02   0.321952E+07   0.319957E+04
   164   0.482238E+04   0.986551E+00  -0.444124E+02   0.320140E+07   0.317241E+04
   165   0.485135E+04   0.976704E+00  -0.440878E+02   0.318359E+07   0.314497E+04
