#    L    TT             EE             BB             TE          
   161   0.473866E+04   0.107774E+01   0.325436E-01  -0.451906E+02
   162   0.476800E+04   0.106775E+01   0.321067E-01  -0.449198E+02
   163   0.479729E+04   0.105757E+01   0.316803E-01  -0.446271E+02
   164   0.482659E+04   0.104705E+01   0.312738E-01  -0.443089E+02
   165   0.485533E+04   0.103629E+01   0.308801E-01  -0.439634E+02
   166   0.488421E+04   0.102534E+01   0.305003E-01  -0.435947E+02
   167   0.491293E+04   0.101419E+01   0.301375E-01  -0.432017E+02
   168   0.494090E+04   0.100284E+01   0.297835E-01  -0.427788E+02
   169   0.496893E+04   0.991397E+00   0.294461E-01  -0.423333E+02
   170   0.499614E+04   0.979740E+00   0.291227E-01  -0.418569E+02
   171   0.502308E+04   0.968024E+00   0.288129E-01  -0.413553E+02
   172   0.504980E+04   0.956202E+00   0.285208E-01  -0.408273E+02
   173   0.507602E+04   0.944333E+00   0.282418E-01  -0.402723E+02
   174   0.510239E+04   0.932495E+00   0.279795E-01  -0.396946E+02
   175   0.512757E+04   0.920568E+00   0.277280E-01  -0.390836E+02
   176   0.515262E+04   0.908734E+00   0.274895E-01  -0.384492E+02
   177   0.517719E+04   0.896882E+00   0.272699E-01  -0.377858E+02
   178   0.520117E+04   0.885126E+00   0.270623E-01  -0.370959E+02
   179   0.522507E+04   0.873484E+00   0.268701E-01  -0.363806E+02
   180   0.524859E+04   0.861981E+00   0.266941E-01  -0.356398E+02
   181   0.527142E+04   0.850638E+00   0.265285E-01  -0.348707E+02
   182   0.529415E+04   0.839523E+00   0.263787E-01  -0.340782E+02
   183   0.531597E+04   0.828581E+00   0.262420E-01  -0.332557E+02
   184   0.533749E+04   0.817932E+00   0.261183E-01  -0.324090E+02
   185   0.535854E+04   0.807538E+00   0.260102E-01  -0.315355E+02
   186   0.537907E+04   0.797476E+00   0.259147E-01  -0.306365E+02
   187   0.539961E+04   0.787799E+00   0.258339E-01  -0.297150E+02
   188   0.541897E+04   0.778456E+00   0.257631E-01  -0.287633E+02
   189   0.543822E+04   0.769587E+00   0.257049E-01  -0.277898E+02
   190   0.545671E+04   0.761116E+00   0.256609E-01  -0.267887E+02
   191   0.547462E+04   0.753148E+00   0.256283E-01  -0.257634E+02
   192   0.549226E+04   0.745701E+00   0.256089E-01  -0.247141E+02
   193   0.550942E+04   0.738805E+00   0.256020E-01  -0.236411E+02
   194   0.552592E+04   0.732501E+00   0.256050E-01  -0.225432E+02
   195   0.554224E+04   0.726839E+00   0.256203E-01  -0.214238E+02
   196   0.555761E+04   0.721809E+00   0.256456E-01  -0.202787E+02
