#    L    TT             EE             BB             TE          
   119   0.337177E+04   0.110411E+01   0.536641E-01  -0.369175E+02
   120   0.340441E+04   0.111305E+01   0.529893E-01  -0.374534E+02
   121   0.343718E+04   0.112160E+01   0.523013E-01  -0.379798E+02
   122   0.346990E+04   0.112974E+01   0.515989E-01  -0.384941E+02
   123   0.350238E+04   0.113739E+01   0.508835E-01  -0.389939E+02
   124   0.353479E+04   0.114452E+01   0.501623E-01  -0.394792E+02
   125   0.356750E+04   0.115117E+01   0.494394E-01  -0.399536E+02
   126   0.360064E+04   0.115737E+01   0.487135E-01  -0.404188E+02
   127   0.363403E+04   0.116315E+01   0.479816E-01  -0.408733E+02
   128   0.366748E+04   0.116846E+01   0.472424E-01  -0.413145E+02
   129   0.370085E+04   0.117330E+01   0.464959E-01  -0.417408E+02
   130   0.373410E+04   0.117762E+01   0.457445E-01  -0.421507E+02
   131   0.376731E+04   0.118141E+01   0.449917E-01  -0.425444E+02
   132   0.380065E+04   0.118469E+01   0.442403E-01  -0.429231E+02
   133   0.383442E+04   0.118748E+01   0.434954E-01  -0.432896E+02
   134   0.386826E+04   0.118983E+01   0.427439E-01  -0.436409E+02
   135   0.390191E+04   0.119168E+01   0.419870E-01  -0.439741E+02
   136   0.393521E+04   0.119298E+01   0.412274E-01  -0.442870E+02
   137   0.396830E+04   0.119372E+01   0.404713E-01  -0.445800E+02
   138   0.400153E+04   0.119393E+01   0.397227E-01  -0.448557E+02
   139   0.403504E+04   0.119366E+01   0.389798E-01  -0.451157E+02
   140   0.406865E+04   0.119292E+01   0.382401E-01  -0.453584E+02
   141   0.410218E+04   0.119170E+01   0.375023E-01  -0.455816E+02
   142   0.413553E+04   0.118997E+01   0.367667E-01  -0.457841E+02
   143   0.416856E+04   0.118775E+01   0.360324E-01  -0.459645E+02
   144   0.420151E+04   0.118493E+01   0.353097E-01  -0.461226E+02
   145   0.423427E+04   0.118167E+01   0.345896E-01  -0.462600E+02
   146   0.426743E+04   0.117793E+01   0.338815E-01  -0.463798E+02
   147   0.430026E+04   0.117370E+01   0.331792E-01  -0.464766E+02
   148   0.433348E+04   0.116913E+01   0.324829E-01  -0.465574E+02
   149   0.436571E+04   0.116390E+01   0.317945E-01  -0.466062E+02
   150   0.439769E+04   0.115833E+01   0.311091E-01  -0.466337E+02
   151   0.442994E+04   0.115224E+01   0.304425E-01  -0.466394E+02
   152   0.446161E+04   0.114571E+01   0.297833E-01  -0.466195E+02
   153   0.449339E+04   0.113882E+01   0.291310E-01  -0.465784E+02
   154   0.452516E+04   0.113153E+01   0.284939E-01  -0.465156E+02
   155   0.455607E+04   0.112381E+01   0.278599E-01  -0.464227E+02
   156   0.458715E+04   0.111578E+01   0.272388E-01  -0.463094E+02
   157   0.461761E+04   0.110727E+01   0.266306E-01  -0.461665E+02
   158   0.464790E+04   0.109846E+01   0.260316E-01  -0.460003E+02
   159   0.467832E+04   0.108926E+01   0.254488E-01  -0.458104E+02
   160   0.470839E+04   0.107974E+01   0.248768E-01  -0.455950E+02
   161   0.473888E+04   0.106999E+01   0.243168E-01  -0.453605E+02
   162   0.476833E+04   0.105980E+01   0.237666E-01  -0.450925E+02
   163   0.479774E+04   0.104941E+01   0.232259E-01  -0.448025E+02
   164   0.482715E+04   0.103868E+01   0.227042E-01  -0.444869E+02
   165   0.485600E+04   0.102769E+01   0.221943E-01  -0.441441E+02
   166   0.488500E+04   0.101651E+01   0.216972E-01  -0.437779E+02
   167   0.491384E+04   0.100513E+01   0.212162E-01  -0.433874E+02
   168   0.494193E+04   0.993541E+00   0.207431E-01  -0.429669E+02
   169   0.497008E+04   0.981847E+00   0.202855E-01  -0.425237E+02
   170   0.499742E+04   0.969936E+00   0.198410E-01  -0.420495E+02
   171   0.502448E+04   0.957959E+00   0.194090E-01  -0.415502E+02
   172   0.505134E+04   0.945869E+00   0.189938E-01  -0.410242E+02
