#    L    TT             EE             BB             TE          
   255   0.538306E+01   0.191924E-01   0.137016E-01  -0.128294E+00
   256   0.527001E+01   0.193998E-01   0.137034E-01  -0.129030E+00
   257   0.515683E+01   0.196071E-01   0.137017E-01  -0.129567E+00
   258   0.504335E+01   0.198128E-01   0.136966E-01  -0.129888E+00
   259   0.493003E+01   0.200160E-01   0.136881E-01  -0.129996E+00
   260   0.481673E+01   0.202182E-01   0.136761E-01  -0.129911E+00
   261   0.470386E+01   0.204174E-01   0.136607E-01  -0.129625E+00
   262   0.459129E+01   0.206134E-01   0.136416E-01  -0.129140E+00
   263   0.447940E+01   0.208069E-01   0.136191E-01  -0.128472E+00
   264   0.436811E+01   0.209950E-01   0.135931E-01  -0.127599E+00
   265   0.425775E+01   0.211795E-01   0.135636E-01  -0.126547E+00
   266   0.414826E+01   0.213590E-01   0.135307E-01  -0.125309E+00
   267   0.403993E+01   0.215330E-01   0.134943E-01  -0.123893E+00
   268   0.393287E+01   0.217036E-01   0.134547E-01  -0.122322E+00
   269   0.382695E+01   0.218663E-01   0.134114E-01  -0.120564E+00
   270   0.372265E+01   0.220251E-01   0.133648E-01  -0.118667E+00
   271   0.361977E+01   0.221756E-01   0.133150E-01  -0.116591E+00
   272   0.351867E+01   0.223191E-01   0.132620E-01  -0.114369E+00
   273   0.341923E+01   0.224571E-01   0.132059E-01  -0.112005E+00
   274   0.332174E+01   0.225868E-01   0.131469E-01  -0.109500E+00
   275   0.322610E+01   0.227100E-01   0.130845E-01  -0.106866E+00
   276   0.313257E+01   0.228269E-01   0.130194E-01  -0.104115E+00
   277   0.304105E+01   0.229335E-01   0.129513E-01  -0.101229E+00
   278   0.295175E+01   0.230339E-01   0.128803E-01  -0.982434E-01
   279   0.286461E+01   0.231244E-01   0.128068E-01  -0.951386E-01
   280   0.277981E+01   0.232062E-01   0.127306E-01  -0.919349E-01
   281   0.269728E+01   0.232808E-01   0.126517E-01  -0.886414E-01
   282   0.261718E+01   0.233460E-01   0.125707E-01  -0.852573E-01
   283   0.253945E+01   0.234029E-01   0.124870E-01  -0.817951E-01
   284   0.246423E+01   0.234519E-01   0.124013E-01  -0.782630E-01
   285   0.239148E+01   0.234898E-01   0.123133E-01  -0.746546E-01
   286   0.232132E+01   0.235200E-01   0.122233E-01  -0.709922E-01
   287   0.225374E+01   0.235388E-01   0.121317E-01  -0.672682E-01
   288   0.218870E+01   0.235505E-01   0.120379E-01  -0.634986E-01
   289   0.212633E+01   0.235541E-01   0.119427E-01  -0.596944E-01
   290   0.206655E+01   0.235460E-01   0.118456E-01  -0.558461E-01
   291   0.200947E+01   0.235317E-01   0.117470E-01  -0.519815E-01
   292   0.195500E+01   0.235049E-01   0.116472E-01  -0.480830E-01
   293   0.190321E+01   0.234691E-01   0.115460E-01  -0.441732E-01
   294   0.185403E+01   0.234253E-01   0.114438E-01  -0.402527E-01
   295   0.180750E+01   0.233712E-01   0.113407E-01  -0.363301E-01
   296   0.176356E+01   0.233096E-01   0.112364E-01  -0.324118E-01
   297   0.172224E+01   0.232401E-01   0.111316E-01  -0.285054E-01
   298   0.168345E+01   0.231596E-01   0.110258E-01  -0.246107E-01
   299   0.164722E+01   0.230724E-01   0.109196E-01  -0.207405E-01
   300   0.161348E+01   0.229745E-01   0.108129E-01  -0.168935E-01
   301   0.158224E+01   0.228681E-01   0.107060E-01  -0.130801E-01
   302   0.155343E+01   0.227546E-01   0.105987E-01  -0.930301E-02
   303   0.152704E+01   0.226323E-01   0.104915E-01  -0.556919E-02
   304   0.150301E+01   0.225027E-01   0.103841E-01  -0.188285E-02
   305   0.148131E+01   0.223661E-01   0.102769E-01   0.175021E-02
   306   0.146189E+01   0.222209E-01   0.101698E-01   0.532301E-02
   307   0.144472E+01   0.220680E-01   0.100631E-01   0.883884E-02
   308   0.142974E+01   0.219065E-01   0.995707E-02   0.122854E-01
   309   0.141691E+01   0.217402E-01   0.985122E-02   0.156647E-01
   310   0.140614E+01   0.215676E-01   0.974633E-02   0.189701E-01
   311   0.139740E+01   0.213870E-01   0.964182E-02   0.221943E-01
   312   0.139062E+01   0.212028E-01   0.953819E-02   0.253379E-01
   313   0.138573E+01   0.210096E-01   0.943553E-02   0.283943E-01
   314   0.138269E+01   0.208113E-01   0.933384E-02   0.313607E-01
   315   0.138137E+01   0.206080E-01   0.923326E-02   0.342392E-01
   316   0.138176E+01   0.203985E-01   0.913402E-02   0.370200E-01
   317   0.138374E+01   0.201855E-01   0.903578E-02   0.397047E-01
   318   0.138729E+01   0.199685E-01   0.893906E-02   0.422913E-01
   319   0.139229E+01   0.197455E-01   0.884358E-02   0.447719E-01
   320   0.139871E+01   0.195202E-01   0.874960E-02   0.471515E-01
   321   0.140645E+01   0.192893E-01   0.865723E-02   0.494213E-01
   322   0.141547E+01   0.190552E-01   0.856648E-02   0.515829E-01
   323   0.142566E+01   0.188187E-01   0.847737E-02   0.536373E-01
   324   0.143700E+01   0.185786E-01   0.839013E-02   0.555802E-01
   325   0.144937E+01   0.183386E-01   0.830455E-02   0.574188E-01
   326   0.146273E+01   0.180931E-01   0.822077E-02   0.591345E-01
   327   0.147700E+01   0.178469E-01   0.813884E-02   0.607402E-01
   328   0.149212E+01   0.175989E-01   0.805892E-02   0.622304E-01
   329   0.150801E+01   0.173485E-01   0.798111E-02   0.636036E-01
   330   0.152458E+01   0.170986E-01   0.790511E-02   0.648670E-01
   331   0.154179E+01   0.168483E-01   0.783139E-02   0.660182E-01
   332   0.155951E+01   0.165965E-01   0.775952E-02   0.670495E-01
   333   0.157773E+01   0.163464E-01   0.768981E-02   0.679742E-01
   334   0.159631E+01   0.160944E-01   0.762226E-02   0.687757E-01
   335   0.161527E+01   0.158434E-01   0.755680E-02   0.694677E-01
   336   0.163444E+01   0.155934E-01   0.749355E-02   0.700491E-01
   337   0.165384E+01   0.153438E-01   0.743257E-02   0.705178E-01
   338   0.167333E+01   0.150964E-01   0.737362E-02   0.708806E-01
   339   0.169291E+01   0.148510E-01   0.731702E-02   0.711376E-01
   340   0.171247E+01   0.146066E-01   0.726248E-02   0.712831E-01
   341   0.173200E+01   0.143653E-01   0.721018E-02   0.713306E-01
   342   0.175140E+01   0.141254E-01   0.716013E-02   0.712685E-01
   343   0.177065E+01   0.138883E-01   0.711223E-02   0.711073E-01
   344   0.178967E+01   0.136545E-01   0.706654E-02   0.708485E-01
   345   0.180845E+01   0.134235E-01   0.702306E-02   0.704922E-01
   346   0.182691E+01   0.131974E-01   0.698166E-02   0.700517E-01
   347   0.184497E+01   0.129732E-01   0.694239E-02   0.695055E-01
   348   0.186264E+01   0.127537E-01   0.690516E-02   0.688768E-01
   349   0.187979E+01   0.125378E-01   0.687009E-02   0.681562E-01
   350   0.189648E+01   0.123258E-01   0.683713E-02   0.673501E-01
   351   0.191255E+01   0.121190E-01   0.680609E-02   0.664666E-01
   352   0.192807E+01   0.119169E-01   0.677718E-02   0.655073E-01
   353   0.194288E+01   0.117194E-01   0.675010E-02   0.644687E-01
   354   0.195706E+01   0.115277E-01   0.672499E-02   0.633656E-01
   355   0.197045E+01   0.113401E-01   0.670178E-02   0.621836E-01
   356   0.198315E+01   0.111584E-01   0.668038E-02   0.609394E-01
   357   0.199502E+01   0.109819E-01   0.666083E-02   0.596330E-01
   358   0.200614E+01   0.108109E-01   0.664303E-02   0.582666E-01
   359   0.201637E+01   0.106460E-01   0.662688E-02   0.568485E-01
   360   0.202579E+01   0.104870E-01   0.661244E-02   0.553798E-01
   361   0.203430E+01   0.103337E-01   0.659953E-02   0.538584E-01
   362   0.204196E+01   0.101870E-01   0.658820E-02   0.522979E-01
   363   0.204869E+01   0.100458E-01   0.657838E-02   0.506888E-01
   364   0.205453E+01   0.991109E-02   0.656999E-02   0.490436E-01
   365   0.205940E+01   0.978269E-02   0.656302E-02   0.473634E-01
   366   0.206337E+01   0.966051E-02   0.655737E-02   0.456506E-01
   367   0.206634E+01   0.954494E-02   0.655298E-02   0.439115E-01
   368   0.206839E+01   0.943584E-02   0.654982E-02   0.421492E-01
   369   0.206948E+01   0.933323E-02   0.654774E-02   0.403660E-01
   370   0.206950E+01   0.923687E-02   0.654681E-02   0.385604E-01
   371   0.206863E+01   0.914692E-02   0.654687E-02   0.367391E-01
   372   0.206670E+01   0.906365E-02   0.654790E-02   0.349102E-01
   373   0.206387E+01   0.898681E-02   0.654985E-02   0.330744E-01
   374   0.205999E+01   0.891641E-02   0.655258E-02   0.312343E-01
   375   0.205521E+01   0.885260E-02   0.655612E-02   0.293981E-01
   376   0.204941E+01   0.879495E-02   0.656036E-02   0.275590E-01
   377   0.204272E+01   0.874375E-02   0.656524E-02   0.257275E-01
   378   0.203504E+01   0.869877E-02   0.657073E-02   0.239047E-01
   379   0.202652E+01   0.866000E-02   0.657672E-02   0.220931E-01
   380   0.201704E+01   0.862741E-02   0.658318E-02   0.202999E-01
   381   0.200673E+01   0.860089E-02   0.659004E-02   0.185250E-01
   382   0.199550E+01   0.858031E-02   0.659719E-02   0.167690E-01
   383   0.198347E+01   0.856561E-02   0.660465E-02   0.150396E-01
   384   0.197057E+01   0.855664E-02   0.661229E-02   0.133323E-01
   385   0.195691E+01   0.855331E-02   0.662008E-02   0.116550E-01
   386   0.194240E+01   0.855550E-02   0.662798E-02   0.100082E-01
   387   0.192718E+01   0.856312E-02   0.663589E-02   0.839419E-02
   388   0.191116E+01   0.857597E-02   0.664381E-02   0.681707E-02
   389   0.189448E+01   0.859397E-02   0.665164E-02   0.527866E-02
   390   0.187704E+01   0.861694E-02   0.665932E-02   0.377953E-02
   391   0.185898E+01   0.864469E-02   0.666684E-02   0.232407E-02
   392   0.184028E+01   0.867717E-02   0.667409E-02   0.909649E-03
